"NO,POLIKLINIK,NAMA DOKTER,SENIN,SELASA,RABU,KAMIS,JUMAT,SABTU"
"46,Klinik Penyakit Dalam,""dr. Harry Andrean, Sp.PD"",09.00 - Selesai,-,08.00 - Selesai,12.00 - Selesai,-,-"
"47,Klinik Penyakit Dalam,""dr. Monita Lubis, Sp.PD"",09.00 -  Selesai, - ,10.00 -Selesai,-,10.00 - Selesai,-"
"48,Klinik Penyakit Mulut,""drg. Yohana Alfa Agustina, Sp. PM"",-,10.00 - Selesai,10.00 - Selesai,-,-,-"
"49,Klinik Orthodonti,""drg. Alfiyanti Saidah, Sp.Ort"",08.00 -  Selesai,08.00 -  Selesai,08.00 -  Selesai,-,-,-"
"50,Klinik Periodonti,""drg. Nurul Adha Marzuki, Sp. Perio"", -,- ,08.00 - 12.00,08.00 -  12.00,08.00 - 12.00,-"
"51,Klinik Prostodonti,""drg. Achmad Royhan, Sp. Prost"",-,08..00 - Selesai,-,08.00 -  Selesai,08.00 -  Selesai,-"
"52,Klinik Rehabilitasi Medik,""dr. Hikmah A. A, Sp. KFR"",10.00 - Selesai,-,10.00 - Selesai,10.00 - Selesai,-,-"
"53,Klinik Rehabilitasi Medik,""dr. Yuni Ekowati, Sp. KFR"",10.00 - 12.00,10.00 - 12.00,10.00 - 12.00,10.00 - 12.00,10.00 - 12.00,-"
"54,Klinik Saraf,""dr. Khristi Handayani, Sp. N"",10.00 -  Selesai,10.00 -  Selesai,-,-,10.00 -  Selesai,-"
"55,Klinik Saraf,""dr. Ahmad Ichsan, Sp. N"",08.00 -  Selesai,-,10.00 -  Selesai,10.00 -  Selesai,-,-"
"56,Klinik Saraf,""dr. Mochamad Kamal,Sp.N"",-,08.00 -  10.00,08.00 -  10.00,08.00 -  10.00,08.00 - 10.00,-"
"57,Klinik TB RO,dr. Hj. Elly Agustina,08.00  - Selesai,08.00 - Selesai,08.00 - Selesai,08.00  - Selesai,08.00 - Selesai,-"
"58,Klinik THT,""dr. Muhammad Akbar, Sp. T.H.T.K.L"",08.00 - Selesai,-,08.00 - Selesai,-,08.00 - Selesai,-"
"59,Klinik THT,""dr. Tomson S, Sp. THT-KL"",-,08.00 - Selesai,-,08.00 - Selesai,-,-"
"60,Klinik Urologi,""dr. Imam Nuryanto, Sp. U"",08.00 - Selesai,-,-,10.00 - Selesai,08.00 - Selesai,-"
"61,Klinik Wijaya Kusuma,dr. Ahmad Siri Lazuardi,08.00 - Selesai,08.00 - Selesai,08.00 - Selesai,08.00 - Selesai,08.00 - Selesai,-"
"62,Klinik Psikologi,""Muflihah Azahra I H. Psi, Psikolog"",08.00 - 14.00,08.00 - 14.00,08.00 - 14.00,08.00 - 14.00,08.00 - 14.00,-"
"63,Klinik Bedah Onkologi,""dr. Randi Dwiyanto, Sp.B, Subsp.Onk (K)"",-,09.00 - 14.00,-,09.00 - 14.00,-,-"
"64,Radiologi,""dr. Deni Setiawan, Sp. Rad"",09.00 - Selesai,09.00 - Selesai,09.00 - Selesai,-,-,-"
"65,Radiologi,""dr. Shirley Eleonora, Sp, Rad, Subsp (K) RI"",-,09.00 - Selesai,-,09.00 - Selesai,-,-"
"66,Radiologi,""Dr. dr. Faisal Reza, Sp.Rad, Subsp.RI(K), AIFO-K"",-,-,-,09.00 - Selesai,09.00 - Selesai,-"
